catalog_id, system_name    , planet_name      , measurement_version, record_type, catalog_status, discovery_year, discovery_method, discovery_facility   , source_team        , distance_light_years, distance_entry_mixed_units, star_type, star_mass_solar, star_radius_solar, star_temperature_k, stellar_activity, planet_class, planet_radius_earth, planet_radius_error_plus, planet_radius_error_minus, planet_mass_earth, planet_mass_error_plus, planet_mass_error_minus, orbital_period_days, semi_major_axis_au, eccentricity, equilibrium_temperature_k, transit_depth_ppm, signal_strength, detection_confidence_pct, atmosphere_hint         , liquid_water_index, moon_candidate_count, ring_candidate, anomaly_flag              , follow_up_priority, data_quality_grade, last_observed_date, observer_note
XPS-AAAA  , Novae North    , Novae North-d    ,                   1, Primary    , Confirmed     ,           1997, Radial Velocity , Solis Observatory    , Blue Orbit Group   ,              1263.29, 1263.3 ly                 , M        ,           0.533,             0.618,             2806.4, Active          , Rocky       ,               0.971,                    0.143,                     0.121,             1.189,                  0.254,                   0.125,           2477.1624,             2.9049,       0.1017,                      60.6,             207.1,            1.16,                    64.74, Carbon dioxide candidate,              0.059,                    0, No            , none                      , Low               , A                 , 2018-12-17        , Several measurements are absent from the early record.
XPS-AAAB  , Talos Delta    , Talos Delta-d    ,                   1, Follow-up  , Confirmed     ,           2024, Transit         , Aurora Survey        , Sky Atlas Team     ,                11.44, 3.5 pc                    , M        ,           0.423,             0.533,             2660.5, Moderate        , Gas Giant   ,              17.135,                    2.742,                     0.253,          1900.000,                263.020,                 417.217,            108.5781,             0.3344,       0.0870,                     174.0,           87787.2,            8.47,                    81.31, Hydrogen-rich           ,                   ,                    4, No            , None                      , Low               , C                 , 2022-09-13        , The atmospheric result has low certainty.
XPS-AAAC  , Noma Two       , Noma Two-r       ,                   1, Primary    , Confirmed     ,           1996, Radial Velocity , Highland Spectrograph, Solis Research Unit,              7960.08, 7960.1 ly                 , M        ,           0.423,             0.498,             2614.5, Active          , Rocky       ,               0.870,                    0.023,                     0.076,             0.939,                  0.239,                   0.209,            503.0461,             0.9288,       0.1627,                      81.4,             253.7,            8.46,                    63.00, Sodium signature        ,              0.133,                    0, No            , NONE                      , Low               , B                 , 2015-08-05        , The system may contain another unseen world.
XPS-AAAD  , Arden Prime    , Arden Prime-s    ,                   1, Primary    , Confirmed     ,           2000, Transit         , Orbital Lens Network , Sky Atlas Team     ,              1077.53, 1077.5 ly                 , K        ,           0.658,             0.739,             4969.1, Highly active   , Desert World,               2.143,                    0.106,                     0.198,             8.303,                  1.001,                   0.032,             91.6381,             0.3460,       0.1017,                     352.3,             705.6,            8.30,                    82.57, Sodium signature        ,              0.784,                    0, No            , None                      , Medium            , B                 , 2014-05-06        , Transit timing varies across observation windows.
XPS-AAAE  , Novae Quarta   , Novae Quarta-j   ,                   1, Primary    , Confirmed     ,           1995, Transit Timing  , Multi-World Array    , North Ridge Team   ,                14.82, 4.5 pc                    , M        ,           0.249,             0.296,             3266.9, Moderate        , Gas Giant   ,              12.423,                    1.822,                     1.814,           277.517,                 33.545,                  22.066,             37.1388,             0.1371,       0.0350,                     235.6,          147228.5,            6.02,                    67.75,                         ,              0.158,                    0, No            , Timing pattern unresolved , Medium            , D                 , 2016-10-23        , No unusual note was reported.
XPS-AAAF  , Talos Quarta   , Talos Quarta-t   ,                   1, Reanalysis , Confirmed     ,           2023, Transit Timing  , Multi-World Array    , Caeli Survey       ,                24.93, 24.9 ly                   , K        ,           0.603,             0.678,             4640.8, Quiet           , Gas Giant   ,               8.603,                    0.330,                     0.650,           612.889,                137.738,                 102.390,           6941.9232,             5.9573,       0.2627,                      72.9,           13494.5,           17.14,                    87.45, High-altitude haze      ,              0.015,                    1, No            , Variable transit depth    , Low               , ?                 , 03/23/2011        , Transit timing varies across observation windows.
XPS-AAAG  , Tarin Delta    , Tarin Delta-w    ,                   1, Reanalysis , Confirmed     ,           2023, Astrometry      , Gaia-Like Survey Lab , Meridian Study     ,              1396.87, 428.3 pc                  , M        ,           0.269,             0.330,             2767.4, Active          , Desert World,               0.813,                    0.035,                     0.106,             0.463,                  0.085,                   0.053,              5.1028,             0.0375,       0.0537,                     406.9,             509.6,           36.98,                    83.67, High-altitude haze      ,              0.408,                     , no            , Asymmetric transit        , High              , C                 , 2023-10-02        , The host star varies across the observation cycle.
XPS-AAAH  , Cyra Minor     , Cyra Minor-z     ,                   1, Follow-up  , Confirmed     ,           2023, Microlensing    , Southern Lens Grid   , North Ridge Team   ,                44.27, 44.3 ly                   , A        ,           1.922,             1.717,             7795.5, Quiet           , SUPER-EARTH ,               1.777,                    0.217,                     0.053,             5.782,                  1.257,                        ,            160.4238,             0.7184,       0.4024,                     616.3,              89.8,           47.87,                    65.08, Methane candidate       ,              0.002,                    0, No            , Timing pattern unresolved , Medium            , A                 , 2013-11-26        , The system may contain another unseen world.
XPS-AAAJ  , Novae North    , Novae North-n    ,                   1, Primary    , Confirmed     ,           2010, Microlensing    , Southern Lens Grid   , North Ridge Team   ,              1737.36, 1737.4 ly                 , M        ,                ,             0.287,             3480.0, Quiet           , Rocky       ,               0.456,                    0.046,                     0.045,             0.100,                  0.048,                   0.034,            566.1933,             0.8330,       0.3636,                      96.5,                  ,           29.42,                    76.07, No clear signal         ,              0.161,                    0, NO            , None                      , Low               , A                 , 2018-07-12        , The host star varies across the observation cycle.
XPS-AAAK  , Caeli Two      , Caeli Two-x      ,                   1, Primary    , Confirmed     ,           2019, Transit         , North Ridge Array    , North Ridge Team   ,                25.87, 25.9 ly                   , F        ,           1.267,             1.235,             6508.8, Moderate        , Ice Giant   ,               3.848,                    0.090,                     0.430,            38.780,                  2.735,                   3.547,              3.0431,             0.0445,       0.0632,                    1703.3,             813.8,            9.15,                    79.95, Sodium signature        ,              0.000,                    0, No            , None                      , Low               , C                 , 2014-05-12        , Follow-up data changed the estimated year length.
XPS-AAAL  , Talos Delta    , Talos Delta-d    ,                   1, Primary    , Confirmed     ,           2021, Transit         , Aurora Survey        , Pacific Lens Group ,              3316.71, 3316.7 ly                 , K        ,           0.588,             0.606,             4093.0, Highly active   , Lava World  ,               1.614,                    0.190,                     0.025,             4.542,                  0.277,                   0.822,            174.4232,             0.5118,       0.0395,                    1053.5,             594.8,            9.17,                    69.10, No clear signal         ,              0.000,                    0, No            , None                      , Low               , C                 , 2022-11-13        , The distance entry uses a converted unit.
